"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.0143479216343856,9.41700000001583,"BEST",1,0.5
3,0.178358695924778,8.87700000000768," ",1,0.5
4,0.0527844025491656,8.60300000000279," ",1,0.5
5,0.0859863575503713,8.22299999999814," ",1,0.5
2,0.0143109969400894,8.87700000000768,"BEST",2,0.5
3,0.182470855243342,8.3980000000156," ",2,0.5
4,0.0518019189939584,8.5109999999986," ",2,0.5
5,0.0855325216818392,7.67399999999907," ",2,0.5
2,0.0148466881416949,8.6479999999865,"BEST",3,0.5
3,0.201325378354062,8.46299999998882," ",3,0.5
4,0.0493150185910883,8.13300000000163," ",3,0.5
5,0.0841470421334872,7.8520000000135," ",3,0.5
2,0.014252063614263,8.92399999999907,"BEST",4,0.5
3,0.200956323197771,8.3519999999844," ",4,0.5
4,0.0526310109066284,8.04899999999907," ",4,0.5
5,0.0862233888713518,7.67799999998533," ",4,0.5
2,0.0143090492692034,8.36999999999534,"BEST",5,0.5
3,0.199028132133829,8.79100000002654," ",5,0.5
4,0.0521869987430629,8.10800000000745," ",5,0.5
5,0.0872560599177154,7.74400000000605," ",5,0.5
2,0.0240539423263674,8.3859999999986,"BEST",6,0.5
3,0.19968325314932,8.71700000000419," ",6,0.5
4,0.0533709110200598,8.2729999999865," ",6,0.5
5,0.0884562592884867,7.64999999999418," ",6,0.5
2,0.023973051744527,8.65200000000186,"BEST",7,0.5
3,0.18427323184669,8.49100000000908," ",7,0.5
4,0.0608265643505612,8.9320000000007," ",7,0.5
5,0.0868580324002057,8.20300000000861," ",7,0.5
2,0.0235367775711575,8.55799999998999,"BEST",8,0.5
3,0.183679961365614,8.40200000000186," ",8,0.5
4,0.057248960781827,7.99399999997695," ",8,0.5
5,0.0865640972626998,7.94199999998091," ",8,0.5
2,0.0130366699648811,8.4770000000135,"BEST",9,0.5
3,0.195897573424332,8.40000000002328," ",9,0.5
4,0.0526756065686214,7.93499999999767," ",9,0.5
5,0.087028412590751,8.11200000002282," ",9,0.5
2,0.013186542442857,8.5230000000156,"BEST",10,0.5
3,0.196151742652247,8.8070000000007," ",10,0.5
4,0.0522806302897574,8.21399999997811," ",10,0.5
5,0.0870183206053715,7.82999999998719," ",10,0.5
2,0.00946640056938163,8.72400000001653,"BEST",11,0.5
3,0.196620345138238,8.52900000000955," ",11,0.5
4,0.0503828721561298,8.24299999998766," ",11,0.5
5,0.0874469963953348,7.74499999999534," ",11,0.5
2,0.00897197912528342,9.00399999998626,"BEST",12,0.5
3,0.176923334124079,8.375," ",12,0.5
4,0.054850140171142,8.0679999999993," ",12,0.5
5,0.0902126964815772,7.6359999999986," ",12,0.5
2,0.017482403757169,8.34899999998743,"BEST",13,0.5
3,0.177173239529292,8.42799999998533," ",13,0.5
4,0.0548815477573439,8.55299999998533," ",13,0.5
5,0.089820911268318,10.4070000000065," ",13,0.5
2,0.0140676960177893,9.97599999999511,"BEST",14,0.5
3,0.177207468855676,9.84000000002561," ",14,0.5
4,0.0596022973627175,9.12300000002142," ",14,0.5
5,0.0912921860103822,8.10500000001048," ",14,0.5
2,0.0141098620928375,8.94800000000396,"BEST",15,0.5
3,0.1572855379924,8.68000000002212," ",15,0.5
4,0.0593204464578042,8.16199999998207," ",15,0.5
5,0.0912894206790134,7.6820000000007," ",15,0.5
2,0.0140918445852745,8.74800000002142,"BEST",16,0.5
3,0.157593616666848,8.43599999998696," ",16,0.5
4,0.0557637082922227,8.29000000000815," ",16,0.5
5,0.0878398377056688,7.75299999999697," ",16,0.5
2,0.0145363401624524,8.53099999998813,"BEST",17,0.5
3,0.177028154245967,8.53999999997905," ",17,0.5
4,0.05728919099355,8.15200000000186," ",17,0.5
5,0.0890474494561487,7.82199999998556," ",17,0.5
2,0.0144873676947637,8.35099999999511,"BEST",18,0.5
3,0.196552536086885,8.59700000000885," ",18,0.5
4,0.0627955246378541,8.72000000000116," ",18,0.5
5,0.0867248412993347,7.61699999999837," ",18,0.5
2,0.0150010695351193,8.70300000000861,"BEST",19,0.5
3,0.198503386295933,8.4309999999823," ",19,0.5
4,0.0612762399443197,9.03599999999278," ",19,0.5
5,0.0806809632344232,8.37099999998463," ",19,0.5
2,0.0143968515453589,8.48099999999977,"BEST",20,0.5
3,0.19816088839876,8.43700000000536," ",20,0.5
4,0.062125987326652,8.1359999999986," ",20,0.5
5,0.0847978405766964,7.93700000000536," ",20,0.5
2,0.0144204462827225,8.44000000000233,"BEST",21,0.5
3,0.198080510182847,8.60599999999977," ",21,0.5
4,0.0630980377421055,8.26600000000326," ",21,0.5
5,0.0886287875624154,7.7270000000135," ",21,0.5
2,0.0125625050965286,8.38399999999092,"BEST",22,0.5
3,0.197753630428209,8.32600000000093," ",22,0.5
4,0.0635145381139671,8.20300000000861," ",22,0.5
5,0.083176385168664,7.69000000000233," ",22,0.5
2,0.012569094795491,8.46700000000419,"BEST",23,0.5
3,0.180649068200703,8.60399999999208," ",23,0.5
4,0.0633303630611867,7.9659999999858," ",23,0.5
5,0.0878744603654056,7.65700000000652," ",23,0.5
2,0.0232238850433869,8.44899999999325,"BEST",24,0.5
3,0.180295742424477,8.50200000000768," ",24,0.5
4,0.0626236277689506,8.34299999999348," ",24,0.5
5,0.0829278935620326,8.22800000000279," ",24,0.5
2,0.0237645837701561,8.35500000001048,"BEST",25,0.5
3,0.181067714653728,8.37400000001071," ",25,0.5
4,0.0676795143326603,8.05400000000373," ",25,0.5
5,0.0883933417516642,7.66400000001886," ",25,0.5
